observation_month,published_at,available_at,cape,source,source_url,source_sha256,downloaded_at
1882-02-01,2026-06-01T09:02:10,1882-02-15 00:00:00,15.153861528363038,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-02-01,2026-06-08T00:11:02,1882-02-15,15.15,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1882-03-01,2026-06-01T09:02:10,1882-03-15 00:00:00,15.091670299486744,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-03-01,2026-06-08T00:11:02,1882-03-15,15.08,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1882-04-01,2026-06-08T00:11:02,1882-04-14,14.92,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1882-04-01,2026-06-01T09:02:10,1882-04-14 00:00:00,14.916997168375302,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-05-01,2026-06-01T09:02:10,1882-05-15 00:00:00,14.567103202191758,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-05-01,2026-06-08T00:11:02,1882-05-15,14.56,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1882-06-01,2026-06-01T09:02:10,1882-06-15 00:00:00,14.327404890131673,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-06-01,2026-06-08T00:11:02,1882-06-15,14.33,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1882-07-01,2026-06-01T09:02:10,1882-07-14 00:00:00,15.240559761217828,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-07-01,2026-06-08T00:11:02,1882-07-14,15.23,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1882-08-01,2026-06-01T09:02:10,1882-08-15 00:00:00,15.525429331463034,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-08-01,2026-06-08T00:11:02,1882-08-15,15.53,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1882-09-01,2026-06-08T00:11:02,1882-09-15,16.07,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
